Longitude Latitude Depth Magnitude
0.929 -0.189 17.3 4.3
0.847 0.336 2.4 5.3
-0.478 -0.237 14.7 4.2
0.411 -0.263 7.7 3.7
-0.941 0.362 3.5 4.1
-0.201 0.392 4.2 4.4
-0.821 0.542 5.0 4.3
0.561 0.138 3.5 4.0
0.722 0.872 19.5 4.0
-0.761 -0.065 5.2 3.5
0.246 0.767 9.1 3.9
-0.172 -0.227 1.8 3.7
0.953 -0.594 13.6 3.8
0.947 0.730 19.9 4.2
-0.516 0.346 6.4 3.8
-0.579 -0.782 19.6 4.0
-0.694 -0.746 13.3 6.3
-0.562 -0.182 17.9 4.2
0.095 -0.783 19.6 4.3
-0.736 0.735 6.4 4.5
0.352 0.898 14.1 5.3
-0.596 -0.904 0.4 4.2
-0.601 0.711 3.0 4.2
-0.675 -0.195 14.7 3.7
0.079 0.332 10.2 4.0
-0.649 0.572 11.8 3.9
-0.161 -0.919 10.4 3.5
-0.187 -0.053 12.8 4.3
0.617 -0.745 17.5 4.0
-0.675 -0.81 18.7 3.7
-0.268 -0.361 12.9 3.8
-0.858 0.953 11.9 4.1
-0.235 0.555 15.2 3.9
-0.557 -0.816 15.2 4.1
0.287 0.979 7.0 4.7
0.365 0.218 13.2 4.1
0.707 -0.818 13.7 4.1
0.588 0.994 15.4 4.2
0.142 -0.074 15.7 4.0
-0.662 -0.158 10.5 4.0
-0.548 0.983 13.6 4.1
-0.756 0.535 17.5 4.6
-0.061 -0.619 3.9 4.6
0.056 -0.361 2.8 4.2
-0.759 -0.222 12.5 3.7
0.224 0.262 3.0 5.3
0.585 0.945 1.2 3.9
-0.005 0.281 9.2 4.6
0.789 -0.694 16.3 3.9
0.490 -0.192 7.7 4.0
-0.983 -0.771 17.2 4.0
0.859 -0.963 0.1 4.0
0.254 -0.891 1.5 3.9
-0.081 0.197 14.7 4.0
0.111 -0.127 9 3.8
-0.656 -0.788 17.7 4.1
-0.514 0.647 5.5 3.8
-0.366 0.832 8.7 4.3
-0.998 0.862 13 3.9
-0.887 0.688 17.3 4.0
-0.455 0.376 10.2 4.4
0.772 0.945 1.4 4.0
-0.382 -0.902 6.0 4.0
-0.106 0.093 9.1 4.0
-0.84 0.099 1 3.8
-0.887 0.224 4.6 4.2
-0.059 -0.517 12.1 3.8
-0.516 -0.569 9.2 5.2
0.507 0.142 5.8 5.1
0.577 -0.364 12.5 4.2
0.462 -0.113 7.0 4.2
-0.565 0.099 14.0 4.3
-0.989 0.675 7.0 4.2
0.902 -0.369 15.3 4.0
-0.378 0.505 8.0 4.0
